Debug | 2023/07/10 00:37:04.744088 | WindowDataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":3,"Reps":4,"Effort":5,"Intensity":0.757009346,"InterExerciseFatigue":10,"InterWorkoutFatigue":10}
Debug | 2023/07/10 00:37:04.745517 | DataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":3,"Reps":4,"Effort":5,"Intensity":0.757009346,"InterExerciseFatigue":10,"InterWorkoutFatigue":10}
Debug | 2023/07/10 00:37:04.746749 | WindowDataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":10,"Reps":1,"Effort":10,"Intensity":0.925233645,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.747848 | DataPoint | {"DatePerformed":"2022-09-01T00:00:00Z","Sets":10,"Reps":1,"Effort":10,"Intensity":0.925233645,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.749030 | DataPoint | {"DatePerformed":"2022-08-29T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.750139 | DataPoint | {"DatePerformed":"2022-08-29T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.018691589,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.751353 | DataPoint | {"DatePerformed":"2022-08-22T00:00:00Z","Sets":4,"Reps":1,"Effort":9.5,"Intensity":0.962616822,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.753157 | DataPoint | {"DatePerformed":"2022-08-22T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":4,"InterWorkoutFatigue":4}
Debug | 2023/07/10 00:37:04.754790 | DataPoint | {"DatePerformed":"2022-08-15T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":8,"InterWorkoutFatigue":8}
Debug | 2023/07/10 00:37:04.755967 | DataPoint | {"DatePerformed":"2022-08-15T00:00:00Z","Sets":4,"Reps":2,"Effort":10,"Intensity":0.925233645,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.756948 | DataPoint | {"DatePerformed":"2022-08-08T00:00:00Z","Sets":2,"Reps":4,"Effort":6,"Intensity":0.757009346,"InterExerciseFatigue":12,"InterWorkoutFatigue":12}
Debug | 2023/07/10 00:37:04.758066 | DataPoint | {"DatePerformed":"2022-08-08T00:00:00Z","Sets":4,"Reps":3,"Effort":9.5,"Intensity":0.887850467,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.759166 | DataPoint | {"DatePerformed":"2022-08-01T00:00:00Z","Sets":4.5,"Reps":4,"Effort":9.5,"Intensity":0.85046729,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.760359 | DataPoint | {"DatePerformed":"2022-07-24T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.028846154,"InterExerciseFatigue":0,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.762681 | DataPoint | {"DatePerformed":"2022-07-14T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.951923077,"InterExerciseFatigue":19,"InterWorkoutFatigue":19}
Debug | 2023/07/10 00:37:04.763903 | DataPoint | {"DatePerformed":"2022-07-14T00:00:00Z","Sets":2,"Reps":4,"Effort":7,"Intensity":0.778846154,"InterExerciseFatigue":20,"InterWorkoutFatigue":20}
Debug | 2023/07/10 00:37:04.764955 | DataPoint | {"DatePerformed":"2022-07-14T00:00:00Z","Sets":4.75,"Reps":4,"Effort":9.5,"Intensity":0.875,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.765941 | DataPoint | {"DatePerformed":"2022-07-11T00:00:00Z","Sets":6,"Reps":1,"Effort":10,"Intensity":0.951923077,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
